timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730101230021,6509,q96,200,OK,Single Thread Group 1-1,text,true,,13,0,1,1,null,6505,0,903
1730101236532,33688,q7,200,OK,Single Thread Group 1-1,text,true,,7080,0,1,1,null,33670,0,1
1730101282599,1296,q91,200,OK,Single Thread Group 1-1,text,true,,1781,0,1,1,null,1278,0,0
1730101283895,12561,q43,200,OK,Single Thread Group 1-1,text,true,,14681,0,1,1,null,12548,0,0
1730101304049,5988,q62,200,OK,Single Thread Group 1-1,text,true,,5344,0,1,1,null,5976,0,0
1730101310127,13746,q63,200,OK,Single Thread Group 1-1,text,true,,3666,0,1,1,null,13729,0,0
1730101324030,33488,q59,200,OK,Single Thread Group 1-1,text,true,,15575,0,1,1,null,33473,0,0
1730101357518,6187,q85,200,OK,Single Thread Group 1-1,text,true,,2315,0,1,1,null,6170,0,0
1730101363705,42217,q28,200,OK,Single Thread Group 1-1,text,true,,313,0,1,1,null,42198,0,0
1730101418467,8246,q3,200,OK,Single Thread Group 1-1,text,true,,4378,0,1,1,null,8223,0,0
1730101427966,50784,q9,200,OK,Single Thread Group 1-1,text,true,,132,0,1,1,null,50757,0,0
1730101499735,8855,q52,200,OK,Single Thread Group 1-1,text,true,,4457,0,1,1,null,8836,0,0
1730101508590,27729,q50,200,OK,Single Thread Group 1-1,text,true,,9030,0,1,1,null,27705,0,0
1730101536319,7881,q42,200,OK,Single Thread Group 1-1,text,true,,417,0,1,1,null,7872,0,0
1730101549800,13013,q71,200,OK,Single Thread Group 1-1,text,true,,2616814,0,1,1,null,12808,0,0
1730101562815,9251,q34,200,OK,Single Thread Group 1-1,text,true,,137347,0,1,1,null,9227,0,0
1730101572129,6823,q73,200,OK,Single Thread Group 1-1,text,true,,1612,0,1,1,null,6781,0,0
1730101578951,4100,q84,200,OK,Single Thread Group 1-1,text,true,,3173,0,1,1,null,4057,0,0
1730101583053,8563,q55,200,OK,Single Thread Group 1-1,text,true,,3904,0,1,1,null,8554,0,0
1730101591684,14954,q2,200,OK,Single Thread Group 1-1,text,true,,95009,0,1,1,null,14941,0,0
1730101606637,5478,q26,200,OK,Single Thread Group 1-1,text,true,,5896,0,1,1,null,5460,0,0
1730101612117,12827,q53,200,OK,Single Thread Group 1-1,text,true,,3157,0,1,1,null,12806,0,0
